frame_idx,second,lampu,env_mean,panel_mean,panel_max,around_mean,delta,std_panel,panel_valid,panel_occluded,mesin_aktif_panel,roll_occluded,operator_near_roll,movement,movement_ema,status_raw,on_cnt,off_cnt,on_sec_count,status_final,operator_status
3450,115,TERANG,149.52,85.88,137,73.22,12.66,4.77,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
3480,116,TERANG,149.52,85.95,137,73.25,12.7,4.79,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
3510,117,TERANG,149.52,85.94,137,73.29,12.65,4.79,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
3540,118,TERANG,149.52,85.89,137,73.22,12.67,4.77,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
3570,119,TERANG,149.52,85.92,137,73.3,12.62,4.78,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
3600,120,TERANG,149.52,85.87,137,73.23,12.64,4.82,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
3630,121,TERANG,149.49,85.9,137,73.27,12.63,4.81,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
3660,122,TERANG,149.51,85.91,137,73.29,12.62,4.77,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
3690,123,TERANG,149.48,85.85,137,73.25,12.6,4.75,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
3720,124,TERANG,149.5,86.22,147,73.56,12.66,5.13,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
3750,125,TERANG,149.46,86.18,147,73.59,12.59,5.13,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
3780,126,TERANG,149.46,86.24,147,73.58,12.66,5.14,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
3810,127,TERANG,149.43,86.31,147,73.59,12.72,5.13,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
3840,128,TERANG,149.45,86.2,147,73.48,12.72,5.13,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
3870,129,TERANG,149.45,86.24,147,73.49,12.75,5.15,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
3900,130,TERANG,149.43,86.39,147,73.56,12.83,5.1,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
