frame_idx,second,lampu,env_mean,panel_mean,panel_max,around_mean,delta,std_panel,panel_valid,panel_occluded,mesin_aktif_panel,roll_occluded,operator_near_roll,movement,movement_ema,status_raw,on_cnt,off_cnt,on_sec_count,status_final,operator_status
3360,112,TERANG,143.53,178,252,111.23,66.77,39.17,-1,0,1,0,0,0,9.32,IDLE,0,6,0,IDLE,TIDAK ADA
3390,113,TERANG,143.53,175.13,255,110.37,64.76,44.37,-1,0,1,0,0,0,1.8,IDLE,0,6,0,IDLE,TIDAK ADA
3420,114,TERANG,143.51,200.73,231,114.33,86.4,13.66,1,0,1,0,0,0,0.16,IDLE,0,6,0,IDLE,TIDAK ADA
3450,115,TERANG,143.83,195.56,254,108.37,87.19,45.65,1,0,1,0,0,0,0,IDLE,0,6,0,IDLE,TIDAK ADA
3480,116,TERANG,143.79,182.31,254,105.25,77.05,42.03,-1,0,1,0,0,0,6.65,IDLE,0,6,0,IDLE,TIDAK ADA
3510,117,TERANG,143.83,178.46,255,104.19,74.27,44.55,-1,0,1,0,0,0,0.21,IDLE,0,6,0,IDLE,TIDAK ADA
3540,118,TERANG,143.83,180.04,254,105.46,74.58,41.3,-1,0,1,0,0,0,0,IDLE,0,6,0,IDLE,TIDAK ADA
3570,119,TERANG,143.83,180.56,254,105.14,75.41,44.24,-1,0,1,0,0,0,4.73,IDLE,0,6,0,IDLE,TIDAK ADA
3600,120,TERANG,143.73,178.72,255,103.95,74.77,47.04,-1,0,1,0,0,0,40.97,IDLE,0,6,0,IDLE,TIDAK ADA
3630,121,TERANG,143.71,180.47,255,104.42,76.06,45.57,-1,0,1,0,0,0,14.49,IDLE,0,6,0,IDLE,TIDAK ADA
3660,122,TERANG,143.7,206.51,248,108.57,97.94,26.41,1,0,1,0,0,0,4.14,IDLE,0,6,0,IDLE,TIDAK ADA
3690,123,TERANG,143.69,205.31,252,108.89,96.42,27.88,1,0,1,0,0,0,1.55,IDLE,0,6,0,IDLE,TIDAK ADA
3720,124,TERANG,143.69,201.31,223,114.6,86.71,3.62,1,0,1,0,0,0,0,IDLE,0,6,0,IDLE,TIDAK ADA
3750,125,TERANG,143.82,176.64,255,108.42,68.22,43.05,-1,0,1,0,0,0,0.46,IDLE,0,6,0,IDLE,TIDAK ADA
3780,126,TERANG,143.7,177.66,255,108.46,69.21,43.2,-1,0,1,0,0,0,0,IDLE,0,6,0,IDLE,TIDAK ADA
3810,127,TERANG,143.74,176.51,254,108.39,68.12,43.67,-1,0,1,0,0,0,7.25,IDLE,0,6,0,IDLE,TIDAK ADA
