frame_idx,second,lampu,status_final,operator_status,env_mean,panel_mean,panel_max,around_mean,delta,std_panel,panel_valid,panel_occluded,mesin_aktif_panel,roll_occluded,operator_near_roll,movement,movement_ema,status_raw,on_cnt,off_cnt,on_sec_count
5460,182,GELAP,OFF,TIDAK ADA,61.14,62.87,180,70.52,-7.65,27.39,0,0,0,0,0,0,0,OFF,0,0,0
5490,183,GELAP,OFF,TIDAK ADA,61.19,63.05,168,70.58,-7.53,27.08,0,0,0,0,0,0,0,OFF,0,0,0
5520,184,GELAP,OFF,TIDAK ADA,61.15,62.93,170,70.61,-7.68,27.38,0,0,0,0,0,0,0,OFF,0,0,0
5550,185,GELAP,OFF,TIDAK ADA,61.45,63.05,168,70.59,-7.55,27.12,0,0,0,0,0,0,0,OFF,0,0,0
5580,186,GELAP,OFF,TIDAK ADA,61.27,62.82,179,70.44,-7.62,27.63,0,0,0,0,0,0,0,OFF,0,0,0
5610,187,GELAP,OFF,TIDAK ADA,61.14,62.96,168,70.48,-7.52,27.52,0,0,0,0,0,0,0,OFF,0,0,0
5640,188,GELAP,OFF,TIDAK ADA,61.01,62.6,170,70.7,-8.1,28.52,0,0,0,0,0,0,0,OFF,0,0,0
5670,189,GELAP,OFF,TIDAK ADA,61.01,62.51,166,70.78,-8.27,28.35,0,0,0,0,0,0,0,OFF,0,0,0
5700,190,GELAP,OFF,TIDAK ADA,61.07,62.42,167,70.73,-8.31,28.41,0,0,0,0,0,0,0,OFF,0,0,0
5730,191,GELAP,OFF,TIDAK ADA,61.02,62.56,166,70.71,-8.16,28.16,0,0,0,0,0,0,0,OFF,0,0,0
5760,192,GELAP,OFF,TIDAK ADA,61.06,62.65,192,70.61,-7.96,28.6,0,0,0,0,0,0,0,OFF,0,0,0
